20190201 032200;1.145020;1.145020;1.144840;1.144900;0
20190201 032300;1.144900;1.145050;1.144890;1.144990;0
20190201 032400;1.145000;1.145000;1.144780;1.144850;0
20190201 032500;1.144880;1.144900;1.144850;1.144870;0
20190201 032600;1.144890;1.144940;1.144860;1.144860;0
20190201 032700;1.144860;1.144910;1.144860;1.144900;0
20190201 032800;1.144890;1.144910;1.144650;1.144790;0
20190201 032900;1.144790;1.144830;1.144730;1.144830;0
20190201 033000;1.144830;1.144860;1.144710;1.144840;0
20190201 033100;1.144840;1.144990;1.144840;1.144860;0
20190201 033200;1.144850;1.145210;1.144850;1.145040;0
20190201 033300;1.145040;1.145050;1.144880;1.145010;0
20190201 033400;1.145000;1.145020;1.144810;1.144810;0
20190201 033500;1.144810;1.144910;1.144800;1.144840;0
20190201 033600;1.144840;1.144910;1.144660;1.144740;0
20190201 033700;1.144740;1.144840;1.144720;1.144830;0
20190201 033800;1.144820;1.144820;1.144690;1.144710;0
20190201 033900;1.144720;1.144820;1.144720;1.144810;0
20190201 034000;1.144810;1.144860;1.144720;1.144760;0
20190201 034100;1.144760;1.144930;1.144750;1.144930;0
20190201 034200;1.144930;1.145020;1.144840;1.145010;0
20190201 034300;1.145010;1.145010;1.144790;1.144850;0
20190201 034400;1.144850;1.144900;1.144840;1.144900;0
20190201 034500;1.144890;1.144900;1.144610;1.144710;0
20190201 034600;1.144690;1.144860;1.144660;1.144840;0
20190201 034700;1.144840;1.144850;1.144750;1.144760;0
20190201 034800;1.144770;1.144870;1.144680;1.144780;0
20190201 034900;1.144790;1.144930;1.144790;1.144890;0
20190201 035000;1.144900;1.144950;1.144770;1.144860;0
20190201 035100;1.144870;1.144910;1.144850;1.144910;0
20190201 035200;1.144910;1.144910;1.144700;1.144820;0
20190201 035300;1.144820;1.144880;1.144790;1.144800;0
20190201 035400;1.144810;1.144820;1.144700;1.144700;0
20190201 035500;1.144700;1.144730;1.144460;1.144470;0
20190201 035600;1.144470;1.144670;1.144440;1.144640;0
20190201 035700;1.144630;1.144800;1.144630;1.144790;0
20190201 035800;1.144790;1.144900;1.144780;1.144800;0
20190201 035900;1.144810;1.144870;1.144700;1.144830;0
20190201 040000;1.144820;1.144940;1.144770;1.144930;0
20190201 040100;1.144920;1.145010;1.144670;1.144680;0
20190201 040200;1.144700;1.144700;1.144550;1.144650;0
20190201 040300;1.144650;1.144950;1.144650;1.144880;0
20190201 040400;1.144880;1.144990;1.144710;1.144870;0
20190201 040500;1.144860;1.145000;1.144830;1.144850;0
20190201 040600;1.144850;1.144930;1.144780;1.144790;0
20190201 040700;1.144770;1.144770;1.144670;1.144710;0
20190201 040800;1.144720;1.144800;1.144660;1.144700;0
20190201 040900;1.144700;1.144850;1.144650;1.144680;0
20190201 041000;1.144670;1.144840;1.144610;1.144750;0
20190201 041100;1.144750;1.144790;1.144670;1.144710;0
20190201 041200;1.144700;1.144740;1.144560;1.144610;0
20190201 041300;1.144600;1.144800;1.144530;1.144770;0
20190201 041400;1.144770;1.145020;1.144730;1.144990;0
20190201 041500;1.145000;1.145130;1.144980;1.145060;0
20190201 041600;1.145060;1.145580;1.145060;1.145410;0
20190201 041700;1.145400;1.145430;1.145240;1.145320;0
20190201 041800;1.145320;1.145510;1.145320;1.145360;0
20190201 041900;1.145400;1.145430;1.145290;1.145380;0
20190201 042000;1.145380;1.145860;1.145370;1.145800;0
20190201 042100;1.145810;1.145970;1.145790;1.145850;0
20190201 042200;1.145850;1.146370;1.145740;1.146290;0
20190201 042300;1.146300;1.146300;1.145820;1.145840;0
20190201 042400;1.145840;1.145960;1.145800;1.145900;0
20190201 042500;1.145900;1.145980;1.145810;1.145910;0
20190201 042600;1.145910;1.145970;1.145860;1.145960;0
20190201 042700;1.145960;1.146030;1.145910;1.145930;0
20190201 042800;1.145930;1.145950;1.145850;1.145890;0
20190201 042900;1.145910;1.146080;1.145870;1.146050;0
20190201 043000;1.146050;1.146060;1.145750;1.145850;0
20190201 043100;1.145840;1.145880;1.145730;1.145740;0
20190201 043200;1.145730;1.146040;1.145720;1.146030;0
20190201 043300;1.146040;1.146110;1.145910;1.145960;0
20190201 043400;1.145970;1.146090;1.145940;1.146050;0
20190201 043500;1.146050;1.146110;1.145990;1.146060;0
20190201 043600;1.146060;1.146150;1.145990;1.146070;0
20190201 043700;1.146060;1.146380;1.146060;1.146300;0
20190201 043800;1.146300;1.146420;1.146290;1.146300;0
20190201 043900;1.146300;1.146440;1.146290;1.146350;0
20190201 044000;1.146340;1.146340;1.146210;1.146260;0
20190201 044100;1.146260;1.146360;1.146180;1.146250;0
20190201 044200;1.146260;1.146370;1.146240;1.146240;0
20190201 044300;1.146250;1.146410;1.145980;1.146080;0
20190201 044400;1.146090;1.146280;1.146070;1.146270;0
20190201 044500;1.146260;1.146490;1.146260;1.146450;0
20190201 044600;1.146450;1.146470;1.146340;1.146360;0
20190201 044700;1.146360;1.146510;1.146340;1.146470;0
20190201 044800;1.146470;1.146480;1.146320;1.146420;0
20190201 044900;1.146440;1.146620;1.146410;1.146570;0
20190201 045000;1.146580;1.146610;1.146410;1.146470;0
20190201 045100;1.146460;1.146590;1.146460;1.146460;0
20190201 045200;1.146460;1.146580;1.146460;1.146490;0
20190201 045300;1.146490;1.146750;1.146490;1.146660;0
20190201 045400;1.146650;1.146700;1.146550;1.146580;0
20190201 045500;1.146580;1.146720;1.146580;1.146660;0
20190201 045600;1.146660;1.146660;1.146520;1.146620;0
20190201 045700;1.146630;1.146670;1.146460;1.146610;0
20190201 045800;1.146620;1.146650;1.146560;1.146610;0
20190201 045900;1.146610;1.146670;1.146580;1.146650;0
20190201 050000;1.146660;1.147170;1.146580;1.147080;0
20190201 050100;1.147070;1.147110;1.146990;1.146990;0
20190201 050200;1.146980;1.147040;1.146900;1.146900;0
20190201 050300;1.146910;1.146910;1.146690;1.146720;0
20190201 050400;1.146730;1.146940;1.146700;1.146740;0
20190201 050500;1.146740;1.146900;1.146730;1.146810;0
20190201 050600;1.146820;1.146890;1.146800;1.146810;0
20190201 050700;1.146810;1.146880;1.146670;1.146840;0
20190201 050800;1.146840;1.146930;1.146780;1.146810;0
20190201 050900;1.146810;1.147000;1.146810;1.146860;0
20190201 051000;1.146860;1.146970;1.146850;1.146860;0
20190201 051100;1.146860;1.146960;1.146710;1.146920;0
20190201 051200;1.146930;1.147260;1.146920;1.147260;0
20190201 051300;1.147250;1.147250;1.147080;1.147100;0
20190201 051400;1.147100;1.147230;1.147070;1.147230;0
20190201 051500;1.147230;1.147250;1.146880;1.146900;0
20190201 051600;1.146910;1.146970;1.146860;1.146960;0
20190201 051700;1.146970;1.146970;1.146860;1.146880;0
20190201 051800;1.146880;1.147010;1.146750;1.147000;0
20190201 051900;1.147010;1.147060;1.146870;1.146900;0
20190201 052000;1.146910;1.146930;1.146800;1.146870;0
20190201 052100;1.146850;1.146910;1.146810;1.146860;0
20190201 052200;1.146860;1.146900;1.146730;1.146760;0
20190201 052300;1.146760;1.146880;1.146750;1.146810;0
20190201 052400;1.146820;1.146870;1.146770;1.146850;0
20190201 052500;1.146850;1.146900;1.146800;1.146820;0
